class,support,tp,fp,fn,precision,recall,f1
"District Court, W.D. Michigan",6,6,4,0,0.6,1,0.75
District of Columbia Court of Appeals,49,38,1,11,0.974358974358974,0.775510204081633,0.863636363636364
Florida Attorney General Reports,31,27,3,4,0.9,0.870967741935484,0.885245901639344
Florida Fifth District Court of Appeal,6,5,0,1,1,0.833333333333333,0.909090909090909
Florida First District Court of Appeal,9,4,1,5,0.8,0.444444444444444,0.571428571428571
Florida Fourth District Court of Appeal,3,2,0,1,1,0.666666666666667,0.8
Florida Second District Court of Appeal,12,11,0,1,1,0.916666666666667,0.956521739130435
Florida Third District Court of Appeal,9,9,1,0,0.9,1,0.947368421052632
Hawaii Intermediate Court of Appeals,84,81,3,3,0.964285714285714,0.964285714285714,0.964285714285714
Hawaii Supreme Court,16,13,0,3,1,0.8125,0.896551724137931
Idaho Court of Appeals,13,13,0,0,1,1,1
Idaho Supreme Court,14,11,0,3,1,0.785714285714286,0.88
Illinois Supreme Court,524,513,8,11,0.984644913627639,0.979007633587786,0.981818181818182
Indiana Court of Appeals,231,227,0,4,1,0.982683982683983,0.991266375545852
Indiana Supreme Court,15,12,1,3,0.923076923076923,0.8,0.857142857142857
Louisiana Attorney General Reports,173,173,13,0,0.93010752688172,1,0.963788300835654
Louisiana Court of Appeal,103,89,15,14,0.855769230769231,0.864077669902913,0.859903381642512
Massachusetts Appeals Court,39,38,0,1,1,0.974358974358974,0.987012987012987
Massachusetts Supreme Judicial Court,45,42,7,3,0.857142857142857,0.933333333333333,0.893617021276596
Michigan Supreme Court,126,99,9,27,0.916666666666667,0.785714285714286,0.846153846153846
Mississippi Supreme Court,534,519,11,15,0.979245283018868,0.971910112359551,0.975563909774436
Missouri Attorney General Reports,159,153,0,6,1,0.962264150943396,0.980769230769231
Missouri Court of Appeals,165,159,3,6,0.981481481481481,0.963636363636364,0.972477064220183
Montana Supreme Court,149,134,3,15,0.978102189781022,0.899328859060403,0.937062937062937
Nebraska Attorney General Reports,204,200,5,4,0.975609756097561,0.980392156862745,0.97799511002445
Nebraska Court of Appeals,4,0,0,4,0,0,0
Nevada Supreme Court,465,424,73,41,0.853118712273642,0.911827956989247,0.881496881496882
New Jersey Court of Chancery,5,0,0,5,0,0,0
New Jersey Superior Court Appellate Division,173,170,1,3,0.994152046783626,0.982658959537572,0.988372093023256
New Jersey Tax Court,7,5,0,2,1,0.714285714285714,0.833333333333333
New Mexico Supreme Court,48,45,1,3,0.978260869565217,0.9375,0.957446808510638
New York Attorney General Reports,59,54,2,5,0.964285714285714,0.915254237288136,0.939130434782609
New York Court of Appeals,530,512,21,18,0.960600375234522,0.966037735849057,0.963311382878645
New York Supreme Court,12,0,1,12,0,0,0
New York Surrogate's Court,2,0,0,2,0,0,0
North Carolina Industrial Commission,311,311,1,0,0.996794871794872,1,0.998394863563403
North Dakota Supreme Court,7,0,0,7,0,0,0
Ohio Court of Appeals,537,516,92,21,0.848684210526316,0.960893854748603,0.901310043668122
