class,support,tp,fp,fn,precision,recall,f1
"Texas Court of Appeals, 7th District (Amarillo)",292,291,11,1,0.963576158940397,0.996575342465753,0.97979797979798
"Texas Court of Appeals, 8th District (El Paso)",20,18,0,2,1,0.9,0.947368421052632
"Texas Court of Appeals, 9th District (Beaumont)",202,201,0,1,1,0.995049504950495,0.997518610421836
Texas Supreme Court,17,5,0,12,1,0.294117647058824,0.454545454545455
U.S. Circuit Court for the District of District of Columbia,4,0,3,4,0,0,0
U.S. Circuit Court for the District of Massachusetts,3,1,0,2,1,0.333333333333333,0.5
United States Board of Tax Appeals,5,4,0,1,1,0.8,0.888888888888889
United States Court of International Trade,4,4,0,0,1,1,1
Utah Supreme Court,69,58,6,11,0.90625,0.840579710144928,0.87218045112782
Washington Supreme Court,44,37,6,7,0.86046511627907,0.840909090909091,0.850574712643678
Wisconsin Supreme Court,181,173,5,8,0.971910112359551,0.955801104972376,0.963788300835655
