class,support,tp,fp,fn,precision,recall,f1
"Texas Court of Appeals, 7th District (Amarillo)",292,13,104,279,0.111111111111111,0.0445205479452055,0.0635696821515892
"Texas Court of Appeals, 8th District (El Paso)",20,0,97,20,0,0,0
"Texas Court of Appeals, 9th District (Beaumont)",202,9,119,193,0.0703125,0.0445544554455446,0.0545454545454545
Texas Supreme Court,17,1,102,16,0.00970873786407767,0.0588235294117647,0.0166666666666667
U.S. Circuit Court for the District of District of Columbia,4,1,103,3,0.00961538461538462,0.25,0.0185185185185185
U.S. Circuit Court for the District of Massachusetts,3,0,81,3,0,0,0
United States Board of Tax Appeals,5,0,197,5,0,0,0
United States Court of International Trade,4,1,934,3,0.00106951871657754,0.25,0.00212992545260916
Utah Supreme Court,69,5,123,64,0.0390625,0.072463768115942,0.050761421319797
Washington Supreme Court,44,5,123,39,0.0390625,0.113636363636364,0.0581395348837209
Wisconsin Supreme Court,181,6,140,175,0.0410958904109589,0.0331491712707182,0.036697247706422
